	SRR3108963	SRR3108968	SRR3108969	SRR3108988	SRR3108989	SRR3108991	SRR3108994	SRR3108998	SRR8365816	SRR8365817	SRR8365826	SRR8365827	SRR8365828	SRR8365829	SRR8365832	SRR8365833	SRR8365834	SRR8365849	SRR8365850	SRR8365851	SRR8365852	SRR8365853	SRR8365854	SRR8365855	SRR8365856	SRR8365867	SRR8365868	SRR9660293	SRR9660294	SRR9660295	SRR9660296	SRR9660297	SRR9660298	SRR9660299	SRR9660300	SRR14654853	SRR14654855	SRR14654856	SRR14654857	SRR14654858	SRR14654859	SRR14654865	SRR14654870	SRR14654871	SRR14654872	SRR14654874	SRR14654875	SRR14654876
SRR3108963	0.0	0.4419525065963061	0.7519788918205804	0.8601583113456465	0.4815303430079156	0.575197889182058	0.7189973614775725	0.899736147757256	0.9142480211081794	0.9538258575197889	0.945910290237467	0.9432717678100264	0.9617414248021108	0.9683377308707124	0.9511873350923483	0.941952506596306	0.9393139841688655	0.9670184696569921	0.9498680738786279	0.9485488126649076	0.9485488126649076	0.9762532981530343	0.9564643799472295	0.9511873350923483	0.9511873350923483	0.9525065963060686	0.9538258575197889	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR3108968	0.4419525065963061	0.0	0.8535620052770448	0.9155672823218998	0.48284960422163586	0.6055408970976254	0.7915567282321899	0.9762532981530343	0.9920844327176781	0.9894459102902374	0.9854881266490765	0.9947229551451188	0.9973614775725593	0.9907651715039578	0.9775725593667546	0.9828496042216359	0.9907651715039578	0.996042216358839	0.9881266490765171	0.9973614775725593	0.996042216358839	0.9934036939313984	0.9907651715039578	0.9920844327176781	0.9868073878627969	0.9947229551451188	0.9947229551451188	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR3108969	0.7519788918205804	0.8535620052770448	0.0	0.866754617414248	0.8192612137203166	0.8509234828496042	0.712401055408971	0.7981530343007915	0.9221635883905013	0.8746701846965699	0.9287598944591029	0.9564643799472295	0.9617414248021108	0.9617414248021108	0.924802110817942	0.8825857519788918	0.9129287598944591	0.9709762532981531	0.9142480211081794	0.9063324538258575	0.8733509234828496	0.9604221635883905	0.9604221635883905	0.9538258575197889	0.9696569920844327	0.9155672823218998	0.8891820580474934	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR3108988	0.8601583113456465	0.9155672823218998	0.866754617414248	0.0	0.8443271767810027	0.7757255936675461	0.8654353562005277	0.9379947229551451	0.9683377308707124	0.9577836411609498	0.9393139841688655	0.974934036939314	0.9854881266490765	0.9854881266490765	0.9525065963060686	0.945910290237467	0.9485488126649076	0.9722955145118733	0.9617414248021108	0.9300791556728232	0.9630606860158312	0.9736147757255936	0.924802110817942	0.9841688654353562	0.9604221635883905	0.8693931398416886	0.9577836411609498	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR3108989	0.4815303430079156	0.48284960422163586	0.8192612137203166	0.8443271767810027	0.0	0.5329815303430079	0.6424802110817942	0.941952506596306	0.9881266490765171	0.9195250659630607	0.9564643799472295	0.9894459102902374	0.9973614775725593	0.9973614775725593	0.9511873350923483	0.9010554089709762	0.9393139841688655	0.9907651715039578	0.9116094986807388	0.9129287598944591	0.9063324538258575	0.9920844327176781	0.9709762532981531	0.9947229551451188	0.9881266490765171	0.8496042216358839	0.9142480211081794	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR3108991	0.575197889182058	0.6055408970976254	0.8509234828496042	0.7757255936675461	0.5329815303430079	0.0	0.7598944591029023	0.9591029023746702	0.9907651715039578	0.9841688654353562	0.9643799472295514	0.9854881266490765	0.9947229551451188	0.9841688654353562	0.9683377308707124	0.9722955145118733	0.9709762532981531	0.9868073878627969	0.9656992084432717	0.9828496042216359	0.9868073878627969	0.9907651715039578	0.9617414248021108	0.996042216358839	0.9868073878627969	0.9195250659630607	0.9854881266490765	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR3108994	0.7189973614775725	0.7915567282321899	0.712401055408971	0.8654353562005277	0.6424802110817942	0.7598944591029023	0.0	0.8654353562005277	0.9406332453825857	0.8891820580474934	0.9089709762532981	0.9564643799472295	0.9709762532981531	0.9722955145118733	0.9036939313984169	0.7994722955145118	0.8839050131926122	0.9630606860158312	0.8693931398416886	0.8614775725593667	0.7955145118733509	0.9709762532981531	0.9683377308707124	0.9670184696569921	0.9630606860158312	0.8799472295514512	0.8192612137203166	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR3108998	0.899736147757256	0.9762532981530343	0.7981530343007915	0.9379947229551451	0.941952506596306	0.9591029023746702	0.8654353562005277	0.0	0.9485488126649076	0.9327176781002638	0.9525065963060686	0.9775725593667546	0.9828496042216359	0.9828496042216359	0.9604221635883905	0.9313984168865436	0.9551451187335093	0.9828496042216359	0.9525065963060686	0.9445910290237467	0.9102902374670184	0.9722955145118733	0.974934036939314	0.9841688654353562	0.9736147757255936	0.9564643799472295	0.9340369393139841	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365816	0.9142480211081794	0.9920844327176781	0.9221635883905013	0.9683377308707124	0.9881266490765171	0.9907651715039578	0.9406332453825857	0.9485488126649076	0.0	0.8126649076517151	0.7361477572559367	0.6728232189973615	0.6741424802110818	0.7598944591029023	0.7401055408970977	0.7915567282321899	0.679419525065963	0.7572559366754618	0.7928759894459103	0.7730870712401056	0.8047493403693932	0.787598944591029	0.7730870712401056	0.637203166226913	0.8364116094986808	0.8390501319261213	0.7770448548812665	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365817	0.9538258575197889	0.9894459102902374	0.8746701846965699	0.9577836411609498	0.9195250659630607	0.9841688654353562	0.8891820580474934	0.9327176781002638	0.8126649076517151	0.0	0.7110817941952506	0.8232189973614775	0.7387862796833773	0.9525065963060686	0.8232189973614775	0.683377308707124	0.787598944591029	0.7572559366754618	0.637203166226913	0.6846965699208444	0.6094986807387863	0.758575197889182	0.8522427440633246	0.758575197889182	0.9485488126649076	0.7453825857519789	0.600263852242744	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365826	0.945910290237467	0.9854881266490765	0.9287598944591029	0.9393139841688655	0.9564643799472295	0.9643799472295514	0.9089709762532981	0.9525065963060686	0.7361477572559367	0.7110817941952506	0.0	0.7229551451187335	0.6635883905013192	0.8680738786279684	0.7150395778364116	0.679419525065963	0.6226912928759895	0.737467018469657	0.7044854881266491	0.7598944591029023	0.816622691292876	0.7467018469656992	0.8034300791556728	0.6952506596306068	0.9287598944591029	0.8007915567282322	0.679419525065963	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365827	0.9432717678100264	0.9947229551451188	0.9564643799472295	0.974934036939314	0.9894459102902374	0.9854881266490765	0.9564643799472295	0.9775725593667546	0.6728232189973615	0.8232189973614775	0.7229551451187335	0.0	0.5897097625329816	0.7255936675461742	0.7744063324538258	0.8179419525065963	0.7546174142480211	0.7216358839050132	0.7664907651715039	0.7928759894459103	0.8601583113456465	0.7321899736147758	0.7401055408970977	0.5699208443271768	0.837730870712401	0.8350923482849604	0.7730870712401056	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365828	0.9617414248021108	0.9973614775725593	0.9617414248021108	0.9854881266490765	0.9973614775725593	0.9947229551451188	0.9709762532981531	0.9828496042216359	0.6741424802110818	0.7387862796833773	0.6635883905013192	0.5897097625329816	0.0	0.6873350923482849	0.8021108179419525	0.7889182058047494	0.7796833773087071	0.5277044854881267	0.6649076517150396	0.7744063324538258	0.8588390501319261	0.5197889182058048	0.7532981530343008	0.4445910290237467	0.8073878627968337	0.8271767810026385	0.7044854881266491	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365829	0.9683377308707124	0.9907651715039578	0.9617414248021108	0.9854881266490765	0.9973614775725593	0.9841688654353562	0.9722955145118733	0.9828496042216359	0.7598944591029023	0.9525065963060686	0.8680738786279684	0.7255936675461742	0.6873350923482849	0.0	0.8931398416886543	0.9195250659630607	0.8693931398416886	0.8350923482849604	0.945910290237467	0.924802110817942	0.924802110817942	0.8707124010554089	0.8865435356200527	0.6886543535620053	0.7928759894459103	0.9670184696569921	0.9142480211081794	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365832	0.9511873350923483	0.9775725593667546	0.924802110817942	0.9525065963060686	0.9511873350923483	0.9683377308707124	0.9036939313984169	0.9604221635883905	0.7401055408970977	0.8232189973614775	0.7150395778364116	0.7744063324538258	0.8021108179419525	0.8931398416886543	0.0	0.7348284960422163	0.7110817941952506	0.816622691292876	0.7955145118733509	0.7717678100263852	0.8060686015831134	0.8324538258575198	0.8271767810026385	0.7823218997361477	0.9313984168865436	0.8311345646437994	0.7968337730870713	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365833	0.941952506596306	0.9828496042216359	0.8825857519788918	0.945910290237467	0.9010554089709762	0.9722955145118733	0.7994722955145118	0.9313984168865436	0.7915567282321899	0.683377308707124	0.679419525065963	0.8179419525065963	0.7889182058047494	0.9195250659630607	0.7348284960422163	0.0	0.6807387862796834	0.8179419525065963	0.6728232189973615	0.6688654353562006	0.5699208443271768	0.8271767810026385	0.8482849604221636	0.8139841688654353	0.9379947229551451	0.716358839050132	0.5356200527704486	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365834	0.9393139841688655	0.9907651715039578	0.9129287598944591	0.9485488126649076	0.9393139841688655	0.9709762532981531	0.8839050131926122	0.9551451187335093	0.679419525065963	0.787598944591029	0.6226912928759895	0.7546174142480211	0.7796833773087071	0.8693931398416886	0.7110817941952506	0.6807387862796834	0.0	0.8232189973614775	0.7717678100263852	0.7678100263852242	0.7664907651715039	0.8443271767810027	0.8192612137203166	0.7664907651715039	0.8970976253298153	0.787598944591029	0.7691292875989446	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365849	0.9670184696569921	0.996042216358839	0.9709762532981531	0.9722955145118733	0.9907651715039578	0.9868073878627969	0.9630606860158312	0.9828496042216359	0.7572559366754618	0.7572559366754618	0.737467018469657	0.7216358839050132	0.5277044854881267	0.8350923482849604	0.816622691292876	0.8179419525065963	0.8232189973614775	0.0	0.6820580474934037	0.7651715039577837	0.866754617414248	0.4155672823218997	0.7651715039577837	0.6569920844327177	0.7849604221635884	0.8073878627968337	0.7137203166226913	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR8365850	0.9498680738786279	0.9881266490765171	0.9142480211081794	0.9617414248021108	0.9116094986807388	0.9656992084432717	0.8693931398416886	0.9525065963060686	0.7928759894459103	0.637203166226913	0.7044854881266491	0.7664907651715039	0.6649076517150396	0.945910290237467	0.7955145118733509	0.6728232189973615	0.7717678100263852	0.6820580474934037	0.0	0.6424802110817942	0.6978891820580475	0.6939313984168866	0.6807387862796834	0.7401055408970977	0.8891820580474934	0.5897097625329816	0.5883905013192612	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
